Ref,Val,Package,PosX,PosY,Rot,Side
"D84","BAV70","SOT-23-3",332.380136,-130.169262,105.000000,bottom
"D85","BAV70","SOT-23-3",337.309213,-148.564844,105.000000,bottom
"D86","BAV70","SOT-23-3",278.724454,-77.130637,105.000000,bottom
"D87","BAV70","SOT-23-3",283.654964,-95.531516,105.000000,bottom
"D88","BAV70","SOT-23-3",288.585457,-113.932400,105.000000,bottom
"D89","BAV70","SOT-23-3",293.515960,-132.333284,105.000000,bottom
"D90","BAV70","SOT-23-3",294.997014,-159.941704,105.000000,bottom
"D91","BAV70","SOT-23-3",243.303227,-92.143887,105.000000,bottom
"D92","BAV70","SOT-23-3",248.233735,-110.544771,105.000000,bottom
"D93","BAV70","SOT-23-3",253.164221,-128.945654,105.000000,bottom
"D94","BAV70","SOT-23-3",258.094728,-147.346540,105.000000,bottom
"D95","BAV70","SOT-23-3",247.596756,-180.156866,127.500000,bottom
"D96","BAV70","SOT-23-3",188.427073,-184.384285,75.000000,bottom
"D97","BAV70","SOT-23-3",207.532345,-184.320888,105.000000,bottom
"D98","5V","D_SOD-523",195.400000,-75.861607,-90.000000,bottom
"FB1","50R@100MHz","L_1206_3216Metric",192.600001,-73.361612,0.000000,bottom
"J3","VIK Keyboard Expansion","vik-keyboard-connector-horizontal",197.900000,-100.061599,180.000000,bottom
"J6","USB In","HRO-TYPE-C-31-M-13x",198.000003,-63.461609,0.000000,bottom
"Q1","BSS138BKS","SOT-363_SC-70-6",182.999994,-84.961614,180.000000,bottom
"Q2","AO3401A","SOT-23-3",173.899997,-102.461602,-90.000000,bottom
"R1","10k","R_0402_1005Metric",203.432658,-78.243649,45.000000,bottom
"R2","1k","R_0402_1005Metric",204.846873,-76.829432,45.000000,bottom
"R3","27","R_0402_1005Metric",199.543570,-83.546937,-45.000000,bottom
"R4","10k","R_0402_1005Metric",189.200001,-101.461606,-90.000000,bottom
"R5","27","R_0402_1005Metric",198.836466,-84.254045,-45.000000,bottom
"R6","1k","R_0402_1005Metric",211.705830,-91.042255,135.000000,bottom
"R7","1M","R_0402_1005Metric",207.300004,-76.861608,90.000000,bottom
"R8","10k","R_0402_1005Metric",222.000003,-112.761604,0.000000,bottom
"R9","10k","R_0402_1005Metric",222.000003,-113.761604,180.000000,bottom
"R10","10k","R_0402_1005Metric",219.800006,-113.761607,180.000000,bottom
"R11","10k","R_0402_1005Metric",219.800002,-112.761606,0.000000,bottom
"R12","0.005","R_0805_2012Metric",187.800003,-76.361602,0.000000,bottom
"R13","10k","R_0402_1005Metric",184.700003,-75.761607,180.000000,bottom
"R14","15k","R_0402_1005Metric",182.599995,-75.761606,180.000000,bottom
